	textid	wordpos	model	token	word	tokenizer	punctuation	target	predicted	prob	text	condition
0	1	0	distilbert-base-uncased	the	The	distilbert-base-uncased	False	O	I-location	0.1448148488998413	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
1	1	1	distilbert-base-uncased	golden	Golden	distilbert-base-uncased	False	B-location	I-location	0.1622993648052215	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
2	1	2	distilbert-base-uncased	state	State	distilbert-base-uncased	False	I-location	I-location	0.1250260472297668	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
3	1	3	distilbert-base-uncased	war	Warrirors	distilbert-base-uncased	False	B-group	B-product	0.1289315968751907	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
4	1	4	distilbert-base-uncased	are	are	distilbert-base-uncased	False	O	I-location	0.1139874905347824	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
5	1	5	distilbert-base-uncased	an	an	distilbert-base-uncased	False	O	I-location	0.1312443614006042	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
6	1	6	distilbert-base-uncased	american	American	distilbert-base-uncased	False	O	I-location	0.0990956202149391	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
7	1	7	distilbert-base-uncased	professional	professional	distilbert-base-uncased	False	O	B-product	0.1468383967876434	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
8	1	8	distilbert-base-uncased	basketball	basketball	distilbert-base-uncased	False	O	I-location	0.1457323729991912	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
9	1	9	distilbert-base-uncased	team	team	distilbert-base-uncased	False	O	B-product	0.1392091214656829	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
10	1	10	distilbert-base-uncased	based	based	distilbert-base-uncased	False	O	B-product	0.1158360764384269	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
11	1	11	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	I-location	0.105186253786087	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
12	1	12	distilbert-base-uncased	san	San	distilbert-base-uncased	False	B-location	I-location	0.1542626619338989	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
13	1	13	distilbert-base-uncased	francisco	Francisco	distilbert-base-uncased	False	B-location	I-location	0.1408847719430923	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
14	1	14	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-product	0.1329016685485839	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
15	2	0	distilbert-base-uncased	klein	Kleinfeltersville	distilbert-base-uncased	False	B-location	B-product	0.1017724499106407	Kleinfeltersville is a town in Pennsylvania.	full
16	2	1	distilbert-base-uncased	is	is	distilbert-base-uncased	False	O	B-location	0.1059207692742347	Kleinfeltersville is a town in Pennsylvania.	full
17	2	2	distilbert-base-uncased	a	a	distilbert-base-uncased	False	O	B-product	0.1240879893302917	Kleinfeltersville is a town in Pennsylvania.	full
18	2	3	distilbert-base-uncased	town	town	distilbert-base-uncased	False	O	B-product	0.134869635105133	Kleinfeltersville is a town in Pennsylvania.	full
19	2	4	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	B-product	0.1233077347278595	Kleinfeltersville is a town in Pennsylvania.	full
20	2	5	distilbert-base-uncased	pennsylvania	Pennsylvania	distilbert-base-uncased	False	B-location	B-product	0.1414809226989746	Kleinfeltersville is a town in Pennsylvania.	full
21	2	6	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-product	0.1208293735980987	Kleinfeltersville is a town in Pennsylvania.	full
22	3	0	distilbert-base-uncased	no	Noam	distilbert-base-uncased	False	B-person	B-product	0.1157879158854484	Noam Chomsky is a soft revolution.	full
