	model	lemma	pairid	expected	unexpected	diff	acc
0	distilbert-base-uncased	BE	1	5.555997610092163	9.385695695877075	-3.829698085784912	True
1	distilbert-base-uncased	BE	3	7.194802284240723	10.817002296447754	-3.6222000122070312	True
2	distilbert-base-uncased	BE	5	3.9988895354952545	9.277788830340432	-5.278899294845178	True
3	distilbert-base-uncased	BE	7	7.411798000335693	11.415113687515259	-4.003315687179565	True
4	distilbert-base-uncased	LIKE	2	6.844419002532959	7.467489957809448	-0.6230709552764893	True
5	distilbert-base-uncased	LIKE	4	8.90492033958435	10.146478414535522	-1.2415580749511719	True
6	distilbert-base-uncased	LIKE	6	4.284704862446233	7.87239300440633	-3.587688141960097	True
7	distilbert-base-uncased	LIKE	8	7.81333726644516	11.475573658943176	-3.6622363924980164	True
8	distilgpt2	BE	1	5.1987690925598145	8.538579940795898	-3.339810848236084	True
9	distilgpt2	BE	3	3.319243311882019	6.322415709495544	-3.0031723976135254	True
10	distilgpt2	BE	5	5.290495483577251	8.684753489494323	-3.394258005917072	True
11	distilgpt2	BE	7	7.406331837177277	9.901246786117554	-2.494914948940277	True
12	distilgpt2	LIKE	2	9.787412881851196	10.009869813919067	-0.2224569320678711	True
13	distilgpt2	LIKE	4	8.329793930053711	7.49661660194397	0.8331773281097412	False
14	distilgpt2	LIKE	6	7.595750015974046	11.637147009372711	-4.041396993398665	True
15	distilgpt2	LIKE	8	9.463349342346191	12.098975956439972	-2.6356266140937805	True
16	gpt2	BE	1	5.315809965133667	8.379689693450928	-3.0638797283172607	True
17	gpt2	BE	3	3.9077073335647583	7.351372241973876	-3.4436649084091178	True
18	gpt2	BE	5	5.327278435230255	8.359451699256898	-3.0321732640266426	True
19	gpt2	BE	7	6.851017117500305	10.274423956871033	-3.4234068393707275	True
20	gpt2	LIKE	2	9.143313884735107	8.987956285476685	0.15535759925842285	False
21	gpt2	LIKE	4	8.002156257629395	8.078051090240479	-0.07589483261108398	True
22	gpt2	LIKE	6	7.806688296794891	11.713219234347344	-3.9065309375524526	True
23	gpt2	LIKE	8	9.768454015254974	12.143752336502075	-2.375298321247101	True
